Epoch,MaxActionDiff,MinActionDiff,MeanActionDiff,StdActionDiff,MeanReWeightingFactor,StdReWeightingFactor,MeanMinusStd,MeanPlusStd,Loss
108000,5.899536,0.0010986328,-1683.7504,2.1295824,1,3.7458153,-1685.88,-1681.6207,-1683.4987
108500,5.987671,0.0032958984,-1683.4701,2.0415988,1,4.0879145,-1685.5117,-1681.4285,-1683.2695
109000,6.1627197,0.01550293,-1683.4156,2.0817468,0.9999999,4.487324,-1685.4974,-1681.3339,-1683.2798
109500,5.908203,0.02368164,-1683.5549,1.8584788,0.99999994,4.143438,-1685.4135,-1681.6964,-1683.4587
110000,5.8442383,0.01586914,-1683.3152,1.9034448,0.9999999,2.5119927,-1685.2186,-1681.4117,-1683.1786
110500,5.819824,0.0061035156,-1683.3223,2.0423048,1,3.5941198,-1685.3646,-1681.2799,-1683.2915
111000,8.352417,0.014526367,-1683.4496,2.1139393,1,11.012566,-1685.5635,-1681.3357,-1683.2725
111500,7.0981445,0.025390625,-1683.583,2.1294992,0.99999994,3.719297,-1685.7125,-1681.4535,-1683.4706
112000,6.4260254,0.021728516,-1683.2188,2.1320138,0.9999999,4.5536304,-1685.3507,-1681.0868,-1683.1055
112500,6.295532,0.014282227,-1683.3063,1.9952497,0.9999999,4.75806,-1685.3015,-1681.311,-1683.1716
113000,5.9976807,0.0025634766,-1683.5126,2.0236754,1,4.2374105,-1685.5363,-1681.4889,-1683.3574
113500,5.7108154,0.026000977,-1683.5455,2.0985498,1,2.6272242,-1685.644,-1681.447,-1683.4578
114000,7.9938965,0.025634766,-1683.3674,2.1389594,1,4.0499015,-1685.5063,-1681.2285,-1683.1738
114500,7.206299,0.010009766,-1683.635,2.1024396,1,6.256505,-1685.7374,-1681.5326,-1683.5227
115000,7.3101807,0.045288086,-1683.466,2.0547957,1.0000001,4.6207743,-1685.5208,-1681.4111,-1683.3374
115500,5.0722656,0.010498047,-1683.3223,1.9229666,0.9999999,2.9285848,-1685.2452,-1681.3993,-1683.2587
116000,8.133423,0.006958008,-1683.3519,2.143261,0.99999994,9.756996,-1685.4952,-1681.2086,-1683.2795
